Identifiant;Type Objet;Modèle;N° Voie Pair;N° Voie Impair;Voie;Commune;Disponibilité;Début Indisponibilité;Fin Indisponibilité;Motif Indisponibilité;geo_shape;geo_point_2d
450080214;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE SAINT-OUEN;SAINT-OUEN;NON;2020-11-25T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.350927066000004, 48.90774008161082]}";48.9077400816,2.350927066
450080218;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE SAINT-OUEN;SAINT-OUEN;NON;2020-11-25T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.348560179680983, 48.9098044879935]}";48.909804488,2.34856017968
450080220;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE SAINT-OUEN;SAINT-OUEN;NON;2020-11-25T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.350624387178396, 48.907031626769516]}";48.9070316268,2.35062438718
450080224;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE SAINT-OUEN;SAINT-OUEN;NON;2020-11-25T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.349123552338875, 48.90665976385586]}";48.9066597639,2.34912355234
450071018;FONTAINE_TOTEM;Fontaine Totem;;5F;PLACE DE L HOTEL DE VILLE;PARIS 4EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.351066151884054, 48.85652872250381]}";48.8565287225,2.35106615188
450071019;FONTAINE_TOTEM;Fontaine Totem;4 F;;PLACE DE L HOTEL DE VILLE;PARIS 4EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.35193077888312, 48.8569613690203]}";48.856961369,2.35193077888
450019332;FONTNE_WALLACE;Caryatides;2;;RUE DE MONTEMPOIVRE;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.404613669993914, 48.83995441607184]}";48.8399544161,2.40461366999
450019346;FONTNE_WALLACE;Caryatides;2F;;PLACE OCTAVE CHANUTE;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.406311585951326, 48.866235284370305]}";48.8662352844,2.40631158595
450019300;FONTNE_WALLACE;Caryatides;;;PLACE LOUIS LEPINE;PARIS 4EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.347714599415338, 48.85539729079762]}";48.8553972908,2.34771459942
450019342;FONTNE_WALLACE;Caryatides;;1F;RUE DES ENVIERGES;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.385880494006863, 48.871423306311414]}";48.8714233063,2.38588049401
450024974;FONTNE_WALLACE;Murale;;59F;RUE GEOFFROY SAINT HILAIRE;PARIS 5EME ARRONDISSEMENT;NON;2020-11-25T01:00:00+00:00;2021-03-31T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.355124443455189, 48.843682813869485]}";48.8436828139,2.35512444346
450071496;FTNE_PETILLANTE;Fontaine pétillante;;153;AVENUE DAUMESNIL;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.387733981673843, 48.8416415983662]}";48.8416415984,2.38773398167
450071498;FTNE_PETILLANTE;Fontaine pétillante;;19;RUE NEUVE TOLBIAC;PARIS 13EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.378007489000833, 48.831038883565235]}";48.8310388836,2.378007489
450072973;FTNE_PETILLANTE;Fontaine pétillante;;157F;QUAI DE VALMY;PARIS 10EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.365921048690548, 48.8781504030297]}";48.878150403,2.36592104869
450077212;FTNE_PETILLANTE;Fontaine pétillante;25;25;RUE LEOPOLD BELLAN;PARIS 2EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.344750807004329, 48.866646377672105]}";48.8666463777,2.344750807
450071237;FTNE_POING_EAU;Fontaine Poing d'Eau;66;;BOULEVARD DAVOUT;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.411130054291038, 48.85280594662052]}";48.8528059466,2.41113005429
450019295;BORNE_FONTAINE;GHM Ronde;68F;;COURS DE VINCENNES;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.404902066011573, 48.84744934199842]}";48.847449342,2.40490206601
450024981;BORNE_FONTAINE;GHM Ville de Paris;50F;;RUE FABERT;PARIS 7EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.311664749078715, 48.858599866633746]}";48.8585998666,2.31166474908
450080504;BORNE_FONTAINE;GHM Ville de Paris;;1F;PLACE MARTIN NADAUD;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.394417067668072, 48.864948989044]}";48.864948989,2.39441706767
450071495;FONTAINE_ARCEAU;Fontaine Arceau;4;;AVENUE DE LA PORTE DE VANVES;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.304485307746408, 48.826736502213414]}";48.8267365022,2.30448530775
450072980;FONTAINE_ARCEAU;Fontaine Arceau;132;;AVENUE DE LA REPUBLIQUE;PARIS 11EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.386570166286354, 48.862871629522246]}";48.8628716295,2.38657016629
450025381;FONTAINE_BOIS;Wallace Bois;;;AVENUE DAUMESNIL;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.419418975606872, 48.83471831212431]}";48.8347183121,2.41941897561
